epoch,step,train_loss
2,49,0.9930498003959656
5,99,1.1367884874343872
7,149,1.065023422241211
10,199,0.9872497916221619
13,249,1.12001633644104
15,299,0.9040786027908325
18,349,1.2014833688735962
21,399,1.1494407653808594
23,449,0.9948243498802185
26,499,1.141648292541504
28,549,1.0887269973754883
31,599,0.9898448586463928
34,649,1.0653305053710938
36,699,0.9806504249572754
39,749,0.8466100692749023
42,799,0.9200688600540161
44,849,0.9072064757347107
47,899,0.9198350310325623
49,949,0.9497071504592896
